Date,SPY_log_ret,SPY_log_ret_t+1,SPY_vol_10,SPY_vol_10_t+1,SPY_vol_change_t+1,SPY_shock_10,SPY_shock_10_t+1,BTC-USD_log_ret,BTC-USD_log_ret_t+1,BTC-USD_vol_10,BTC-USD_vol_10_t+1,BTC-USD_vol_change_t+1,BTC-USD_shock_10,BTC-USD_shock_10_t+1,TSLA_log_ret,TSLA_log_ret_t+1,TSLA_vol_10,TSLA_vol_10_t+1,TSLA_vol_change_t+1,TSLA_shock_10,TSLA_shock_10_t+1
2021-01-19,0.007821317816198246,0.013743469022553653,0.0070150467867784875,0.007771986163639462,0.0007569393768609746,1.1149345191737519,1.768334211253648,-0.02073085336392201,-0.014579216975338103,0.07548886761482093,0.07378547861987782,-0.0017033889949431141,-0.27462133184591403,-0.19758924449682244,0.022015499815695144,0.00696170884124915,0.04731738134019985,0.04732314830243375,5.766962233894057e-06,0.4652729967748921,0.14711001044896924
2021-01-20,0.013743469022553653,0.0009115863504447478,0.007771986163639462,0.0077458089692025245,-2.617719443693753e-05,1.768334211253648,0.11768768815100289,-0.014579216975338103,-0.14252813081835994,0.07378547861987782,0.08161422244201454,0.007828743822136719,-0.19758924449682244,-1.7463638879807213,0.00696170884124915,-0.006440854103183227,0.04732314830243375,0.047490685636976004,0.00016753733454225733,0.14711001044896924,-0.13562352315605253
2021-01-21,0.0009115863504447478,-0.003545597326107559,0.0077458089692025245,0.006706563276986525,-0.0010392456922159992,0.11768768815100289,-0.5286757433981463,-0.14252813081835994,0.06833341147530216,0.08161422244201454,0.08178390341104089,0.00016968096902635066,-1.7463638879807213,0.8355361950855124,-0.006440854103183227,0.0019507385857471659,0.047490685636976004,0.04158151206729638,-0.005909173569679627,-0.13562352315605253,0.046913603877368634
2021-01-22,-0.003545597326107559,0.003936010766270126,0.006706563276986525,0.006592696779487685,-0.00011386649749884053,-0.5286757433981463,0.597025905774479,0.06833341147530216,-0.019561525405735965,0.08178390341104089,0.07962675504669062,-0.00215714836435027,0.8355361950855124,-0.24566523393130493,0.0019507385857471659,0.039555086200732226,0.04158151206729638,0.035845070453442505,-0.005736441613853872,0.046913603877368634,1.103501421544379
2021-01-25,0.003936010766270126,-0.001562227467805905,0.006592696779487685,0.006116040782070128,-0.00047665599741755684,0.597025905774479,-0.2554311724646692,-0.019561525405735965,0.006266383460683916,0.07962675504669062,0.06900861084592036,-0.010618144200770258,-0.24566523393130493,0.09080581950381879,0.039555086200732226,0.002596544878530684,0.035845070453442505,0.021645037616909706,-0.0142000328365328,1.103501421544379,0.11996028486927604
2021-01-26,-0.001562227467805905,-0.02474421139100801,0.006116040782070128,0.010292267828636053,0.004176227046565925,-0.2554311724646692,-2.404155410935041,0.006266383460683916,-0.06787434522440919,0.06900861084592036,0.0705719516498108,0.0015633408038904367,0.09080581950381879,-0.9617750910618491,0.002596544878530684,-0.021669174678462418,0.021645037616909706,0.01901730628554017,-0.002627731331369537,0.11996028486927604,-1.1394450062014618
2021-01-27,-0.02474421139100801,0.008563549579412617,0.010292267828636053,0.010695942342448668,0.0004036745138126154,-2.404155410935041,0.800635353598225,-0.06787434522440919,0.0950202595471698,0.0705719516498108,0.07051858937126528,-5.3362278545521225e-05,-0.9617750910618491,1.3474498057087967,-0.021669174678462418,-0.033811459334112025,0.01901730628554017,0.021967534385376738,0.0029502280998365688,-1.1394450062014618,-1.5391558625086075
2021-01-28,0.008563549579412617,-0.02022282594663758,0.010695942342448668,0.012379546847433778,0.0016836045049851093,0.800635353598225,-1.6335675445850166,0.0950202595471698,0.025090070847817985,0.07051858937126528,0.06865063767965554,-0.0018679516916097344,1.3474498057087967,0.3654746947128995,-0.033811459334112025,-0.051455133708131096,0.021967534385376738,0.026923040307414995,0.004955505922038257,-1.5391558625086075,-1.9111932798302727
2021-01-29,-0.02022282594663758,0.016508497943640635,0.012379546847433778,0.013533069876143304,0.0011535230287095261,-1.6335675445850166,1.219863496954416,0.025090070847817985,-0.022968438634477506,0.06865063767965554,0.06663830435979363,-0.002012333319861906,0.3654746947128995,-0.3446732154297666,-0.051455133708131096,0.05668432585298431,0.026923040307414995,0.03265380986446022,0.005730769557045223,-1.9111932798302727,1.7359176796909828
2021-02-01,0.016508497943640635,0.014041352674231268,0.013533069876143304,0.014058054225782064,0.0005249843496387598,1.219863496954416,0.9988119585198237,-0.022968438634477506,0.057167938879420434,0.06663830435979363,0.06964574423435427,0.003007439874560633,-0.3446732154297666,0.8208389400945063,0.05668432585298431,0.03851924269165984,0.03265380986446022,0.03417953231202669,0.0015257224475664702,1.7359176796909828,1.1269681030160308
