Date,SPY_log_ret,SPY_log_ret_t+1,SPY_vol_10,SPY_vol_10_t+1,SPY_shock_10,SPY_shock_10_t+1,CL=F_log_ret,CL=F_log_ret_t+1,CL=F_vol_10,CL=F_vol_10_t+1,CL=F_shock_10,CL=F_shock_10_t+1,^VIX_log_ret,^VIX_log_ret_t+1,^VIX_vol_10,^VIX_vol_10_t+1,^VIX_shock_10,^VIX_shock_10_t+1,MRNA_log_ret,MRNA_log_ret_t+1,MRNA_vol_10,MRNA_vol_10_t+1,MRNA_shock_10,MRNA_shock_10_t+1,BNTX_log_ret,BNTX_log_ret_t+1,BNTX_vol_10,BNTX_vol_10_t+1,BNTX_shock_10,BNTX_shock_10_t+1
2019-10-24,0.0016322547284073228,0.004086710184350009,0.005216508356095784,0.004488043820139266,0.3129017758593143,0.9105771574715142,0.004634559449972859,0.007618077546131343,0.016685577780134294,0.01572959427737351,0.2777584037569695,0.48431494238155215,-0.021645880329306155,-0.08046831133882339,0.049705830569944764,0.04226311534285085,-0.43547970290621396,-1.903984377063563,-0.01851348595691897,0.025001306463557107,0.026594951305468854,0.025391019792229828,-0.6961278381100833,0.9846515290893523,0.06634399606422857,-0.07032009904911352,0.11156913801641728,0.11459091580180386,0.5946446951527592,-0.6136620739704967
2019-10-25,0.004086710184350009,0.005620613770025396,0.004488043820139266,0.004510794647812269,0.9105771574715142,1.2460362771671256,0.007618077546131343,-0.015115402302443957,0.01572959427737351,0.01488524160312773,0.48431494238155215,-1.0154623421945577,-0.08046831133882339,0.03571808656993594,0.04226311534285085,0.042274818719035906,-1.903984377063563,0.8449021817768899,0.025001306463557107,0.001175115130863235,0.025391019792229828,0.024330829204950354,0.9846515290893523,0.048297372891185554,-0.07032009904911352,-0.065259790949897,0.11459091580180386,0.11312980107734104,-0.6136620739704967,-0.5768576478383644
2019-10-28,0.005620613770025396,-0.0002965674880415968,0.004510794647812269,0.003736481221617514,1.2460362771671256,-0.07937079579733936,-0.015115402302443957,-0.004849591044121093,0.01488524160312773,0.0137977276012794,-1.0154623421945577,-0.35147751747696576,0.03571808656993594,0.006841543554959068,0.042274818719035906,0.036218778476102984,0.8449021817768899,0.18889492806813166,0.001175115130863235,-0.00235161278207708,0.024330829204950354,0.025100093626727937,0.048297372891185554,-0.09368940279859975,-0.065259790949897,0.03228019411475485,0.11312980107734104,0.11306006098011018,-0.5768576478383644,0.2855136803829751
2019-10-29,-0.0002965674880415968,0.0030621366439357836,0.003736481221617514,0.0036029668800505363,-0.07937079579733936,0.8498930869697123,-0.004849591044121093,-0.008679973706581781,0.0137977276012794,0.014287049355768956,-0.35147751747696576,-0.6075413817393234,0.006841543554959068,-0.06818150415412919,0.036218778476102984,0.04127719823471625,0.18889492806813166,-1.6517958357160256,-0.00235161278207708,0.008789955347578286,0.025100093626727937,0.023122588010183576,-0.09368940279859975,0.380145827262374,0.03228019411475485,-0.01242973037207406,0.11306006098011018,0.1135012956231747,0.2855136803829751,-0.10951179282869929
2019-10-30,0.0030621366439357836,-0.0026666591135012263,0.0036029668800505363,0.003851500049317765,0.8498930869697123,-0.6923689677671391,-0.008679973706581781,-0.016111682366602334,0.014287049355768956,0.015202274097475764,-0.6075413817393234,-1.059820541538425,-0.06818150415412919,0.0696955436338059,0.04127719823471625,0.04833783121352804,-1.6517958357160256,1.4418425875569816,0.008789955347578286,-0.023016619288781494,0.023122588010183576,0.026405468492048917,0.380145827262374,-0.8716610839800909,-0.01242973037207406,0.0017850643812909316,0.1135012956231747,0.1135644077033524,-0.10951179282869929,0.015718519713974054
2019-10-31,-0.0026666591135012263,0.009221247851474426,0.003851500049317765,0.004002674816085225,-0.6923689677671391,2.3037714216547753,-0.016111682366602334,0.036604928185503524,0.015202274097475764,0.018916632610655806,-1.059820541538425,1.9350657666673634,0.0696955436338059,-0.07213157673711974,0.04833783121352804,0.050736603062478076,1.4418425875569816,-1.4216871525335557,-0.023016619288781494,-0.06728857745221731,0.026405468492048917,0.03675005154251117,-0.8716610839800909,-1.8309791314001356,0.0017850643812909316,-0.017996846111905943,0.1135644077033524,0.11232230726552805,0.015718519713974054,-0.1602250394426256
2019-11-01,0.009221247851474426,0.004009839717415351,0.004002674816085225,0.0037819276491600604,2.3037714216547753,1.0602634659882795,0.036604928185503524,0.006031597982923683,0.018916632610655806,0.01834116709216449,1.9350657666673634,0.3288557348948877,-0.07213157673711974,0.042186894795746596,0.050736603062478076,0.053787851132315906,-1.4216871525335557,0.784320137496636,-0.06728857745221731,0.07026916017729147,0.03675005154251117,0.04038975658814517,-1.8309791314001356,1.7397767680015241,-0.017996846111905943,0.13828696146198932,0.11232230726552805,0.11199718749467281,-0.1602250394426256,1.2347360193180474
2019-11-04,0.004009839717415351,-0.0011069132514727143,0.0037819276491600604,0.0034681664048959383,1.0602634659882795,-0.31916382383212866,0.006031597982923683,0.012129859964340392,0.01834116709216449,0.018155276477558262,0.3288557348948877,0.6681176119424076,0.042186894795746596,0.02082608664591415,0.053787851132315906,0.05292842242354975,0.784320137496636,0.3934764289639564,0.07026916017729147,0.005342853686698622,0.04038975658814517,0.039853267922628464,1.7397767680015241,0.1340631261925946,0.13828696146198932,-0.02616972892444883,0.11199718749467281,0.08054226365735576,1.2347360193180474,-0.3249192130454705
2019-11-05,-0.0011069132514727143,0.0002280808644523878,0.0034681664048959383,0.0035483957794636128,-0.31916382383212866,0.06427717724511138,0.012129859964340392,-0.015496015015156009,0.018155276477558262,0.016416180987346294,0.6681176119424076,-0.9439476225987301,0.02082608664591415,-0.037329411282083405,0.05292842242354975,0.05321924466821447,0.3934764289639564,-0.7014269276989313,0.005342853686698622,-0.046040854575081086,0.039853267922628464,0.037973830204313455,0.1340631261925946,-1.2124364154830845,-0.02616972892444883,-0.061368955642747254,0.08054226365735576,0.06555837311113193,-0.3249192130454705,-0.9360963783942146
2019-11-06,0.0002280808644523878,0.0035100516043284,0.0035483957794636128,0.0035541645558173876,0.06427717724511138,0.987588376734897,-0.015496015015156009,0.014097203533174212,0.016416180987346294,0.016934223395005634,-0.9439476225987301,0.8324682628984251,-0.037329411282083405,0.008678528565025828,0.05321924466821447,0.05337406605615138,-0.7014269276989313,0.16259822805884253,-0.046040854575081086,0.08152004082170121,0.037973830204313455,0.04620386124197975,-1.2124364154830845,1.76435558913059,-0.061368955642747254,0.05811703232915764,0.06555837311113193,0.06465804545157185,-0.9360963783942146,0.8988368256922744
