date,oil price,war,stock market,Iran,Hormuz,Attention_mean,oil price_diff,war_diff,stock market_diff,Iran_diff,Hormuz_diff
2021-04-18,,,,,,,,,,,
2021-04-19,,,,,,,,,,,
2021-04-20,,,,,,,,,,,
2021-04-21,,,,,,,,,,,
2021-04-22,,,,,,,,,,,
2021-04-23,,,,,,,,,,,
2021-04-24,7.0,27.0,20.0,1.0,0.0,11.0,,,,,
2021-04-25,7.0,26.857142857142858,19.428571428571427,1.0,0.0,10.857142857142858,0.0,-0.14285714285714235,-0.571428571428573,0.0,0.0
2021-04-26,7.0,26.714285714285715,18.857142857142858,1.0,0.0,10.714285714285714,0.0,-0.14285714285714235,-0.5714285714285694,0.0,0.0
2021-04-27,7.0,26.571428571428573,18.285714285714285,1.0,0.0,10.571428571428571,0.0,-0.14285714285714235,-0.571428571428573,0.0,0.0
2021-04-28,7.0,26.428571428571427,17.714285714285715,1.0,0.0,10.428571428571429,0.0,-0.1428571428571459,-0.5714285714285694,0.0,0.0
2021-04-29,7.0,26.285714285714285,17.142857142857142,1.0,0.0,10.285714285714286,0.0,-0.14285714285714235,-0.571428571428573,0.0,0.0
2021-04-30,7.0,26.142857142857142,16.571428571428573,1.0,0.0,10.142857142857142,0.0,-0.14285714285714235,-0.5714285714285694,0.0,0.0
2021-05-01,7.0,26.0,16.0,1.0,0.0,10.0,0.0,-0.14285714285714235,-0.571428571428573,0.0,0.0
2021-05-02,7.0,25.714285714285715,16.285714285714285,1.0,0.0,10.0,0.0,-0.2857142857142847,0.2857142857142847,0.0,0.0
2021-05-03,7.0,25.428571428571427,16.571428571428573,1.0,0.0,10.0,0.0,-0.28571428571428825,0.28571428571428825,0.0,0.0
2021-05-04,7.0,25.142857142857142,16.857142857142858,1.0,0.0,10.0,0.0,-0.2857142857142847,0.2857142857142847,0.0,0.0
2021-05-05,7.0,24.857142857142858,17.142857142857142,1.0,0.0,10.0,0.0,-0.2857142857142847,0.2857142857142847,0.0,0.0
2021-05-06,7.0,24.571428571428573,17.428571428571427,1.0,0.0,10.0,0.0,-0.2857142857142847,0.2857142857142847,0.0,0.0
2021-05-07,7.0,24.285714285714285,17.714285714285715,1.0,0.0,10.0,0.0,-0.28571428571428825,0.28571428571428825,0.0,0.0
2021-05-08,7.0,24.0,18.0,1.0,0.0,10.0,0.0,-0.2857142857142847,0.2857142857142847,0.0,0.0
2021-05-09,7.0,24.285714285714285,18.714285714285715,1.1428571428571428,0.0,10.22857142857143,0.0,0.2857142857142847,0.7142857142857153,0.1428571428571428,0.0
2021-05-10,7.0,24.571428571428573,19.428571428571427,1.2857142857142858,0.0,10.457142857142857,0.0,0.28571428571428825,0.7142857142857117,0.14285714285714302,0.0
